ppm,Intensity,Sum,Residue,Peak 1,Peak 2,Peak 3,Peak 4
-1057.36,826951,0,826951,0,0,0,0
-1058.59,802135,0,802135,0,0,0,0
-1059.82,757321,0,757321,0,0,0,0
-1061.05,712507,0,712507,0,0,0,0
-1062.27,659272,0,659272,0,0,0,0
-1063.5,606038,0,606038,0,0,0,0
-1064.73,569030,0,569030,0,0,0,0
-1065.95,532022,0,532022,0,0,0,0
-1067.18,514661,0,514661,0,0,0,0
-1068.41,497300,0,497300,0,0,0,0
-1069.63,481167,0,481167,0,0,0,0
-1070.86,465033,0,465033,0,0,0,0
-1072.09,448900,0,448900,0,0,0,0
-1073.31,432767,0,432767,0,0,0,0
-1074.54,418640,0,418640,0,0,0,0
-1075.77,404514,0,404514,0,0,0,0
-1077,404420,0,404420,0,0,0,0
-1078.22,404327,0,404327,0,0,0,0
-1079.45,426512,0,426512,0,0,0,0
-1080.68,448697,0,448697,0,0,0,0
-1081.9,478250,0,478250,0,0,0,0
-1083.13,507803,0,507803,0,0,0,0
-1084.36,531654,0,531654,0,0,0,0
-1085.58,538666,0,538666,0,0,0,0
-1086.81,528135,0,528135,0,0,0,0
-1088.04,500764,0,500764,0,0,0,0
-1089.26,465587,0,465587,0,0,0,0
-1090.49,430410,0,430410,0,0,0,0
-1091.72,398741,0,398741,0,0,0,0
-1092.94,383913,0,383913,0,0,0,0
-1094.17,374062,0,374062,0,0,0,0
-1095.4,364211,0,364211,0,0,0,0
-1096.63,352255,0,352255,0,0,0,0
-1097.85,340299,0,340299,0,0,0,0
-1099.08,335799,0,335799,0,0,0,0
-1100.31,348138,0,348138,0,0,0,0
-1101.53,375213,0,375213,0,0,0,0
-1102.76,402288,0,402288,0,0,0,0
-1103.99,428924,0,428924,0,0,0,0
-1105.21,438720,0,438720,0,0,0,0
-1106.44,430975,0,430975,0,0,0,0
-1107.67,406388,0,406388,0,0,0,0
-1108.89,371628,0,371628,0,0,0,0
-1110.12,336867,0,336867,0,0,0,0
-1111.35,311229,0,311229,0,0,0,0
-1112.57,302430,0,302430,0,0,0,0
-1113.8,308318,0,308318,0,0,0,0
-1115.03,314205,0,314205,0,0,0,0
-1116.26,335179,0,335179,0,0,0,0
-1117.48,356153,0,356153,0,0,0,0
-1118.71,391160,0,391160,0,0,0,0
-1119.94,426167,0,426167,0,0,0,0
-1121.16,455561,0,455561,0,0,0,0
-1122.39,468114,0,468114,0,0,0,0
-1123.62,460494,0,460494,0,0,0,0
-1124.84,436034,0,436034,0,0,0,0
-1126.07,405961,0,405961,0,0,0,0
-1127.3,375887,0,375887,0,0,0,0
-1128.52,355287,0,355287,0,0,0,0
-1129.75,334686,0,334686,0,0,0,0
-1130.98,333732,0,333732,0,0,0,0
-1132.21,332778,0,332778,0,0,0,0
-1133.43,337964,0,337964,0,0,0,0
-1134.66,343150,0,343150,0,0,0,0
-1135.89,332548,0,332548,0,0,0,0
-1137.11,305106,0,305106,0,0,0,0
-1138.34,259595,0,259595,0,0,0,0
-1139.57,214085,0,214085,0,0,0,0
-1140.79,168574,0,168574,0,0,0,0
